1	10.06	15
2	10.76	16
3	11.66	16
4	12.26	16
5	12.74	16
6	12.96	17
7	13.42	17
8	13.8	17
9	14.16	18
10	14.42	18
11	14.6	18
12	14.48	18
13	15.12	18
14	15.14	18
15	15.1	18
16	15.28	18
17	15.28	18
18	15.72	18
19	15.48	18
20	15.56	18
21	15.8	18
22	15.74	18
23	15.78	18
24	15.78	18
25	15.7	18
26	15.8	18
27	16.06	18
28	16.1	18
29	16.48	18
30	16.9	18
31	16.92	18
32	16.94	18
33	17.08	18
34	17.06	18
35	16.98	18
36	17.02	18
37	16.88	18
38	17.1	18
39	17.1	18
40	17.06	18
41	17.02	18
42	16.88	18
43	16.82	18
44	17.02	18
45	17.0	18
46	16.96	18
47	16.78	18
48	16.74	18
49	16.64	18
