1	10.02	14
2	10.72	15
3	10.9	15
4	11.48	15
5	11.54	15
6	11.58	17
7	12.02	17
8	12.2	18
9	12.26	17
10	12.64	17
11	13.0	18
12	13.46	18
13	13.7	17
14	13.88	17
15	14.0	17
16	14.06	17
17	14.38	17
18	14.58	17
19	15.0	18
20	15.22	17
21	15.32	17
22	15.24	17
23	15.86	18
24	16.18	18
25	16.38	18
26	16.46	19
27	16.44	19
28	16.62	19
29	16.68	18
30	16.96	18
31	16.86	18
32	17.02	18
33	16.96	18
34	16.82	18
35	16.86	18
36	16.74	18
37	16.56	18
38	16.78	18
39	16.86	18
40	17.04	18
41	17.16	18
42	17.24	18
43	17.46	18
44	17.52	18
45	17.72	18
46	17.76	18
47	17.8	18
48	17.76	18
49	17.74	18
