1	10.0	16
2	10.76	18
3	11.48	16
4	12.66	16
5	13.16	16
6	13.42	16
7	13.66	16
8	13.92	17
9	13.84	17
10	13.92	16
11	14.26	18
12	14.22	18
13	14.46	17
14	14.94	18
15	15.06	18
16	15.22	18
17	15.34	17
18	15.66	17
19	15.66	17
20	15.78	18
21	16.06	17
22	16.42	18
23	16.5	18
24	16.5	18
25	16.26	19
26	16.26	19
27	16.22	18
28	16.24	18
29	16.44	18
30	16.66	18
31	16.76	19
32	16.88	18
33	16.94	18
34	17.06	18
35	17.3	19
36	17.34	19
37	17.5	19
38	17.6	19
39	17.72	19
40	17.72	19
41	17.82	19
42	17.82	19
43	17.92	20
