0.0,0.75
0.01,0.875
0.02,0.875
0.03,0.75
0.04,0.75
0.05,0.625
0.06,0.75
0.07,0.75
0.08,0.625
0.09,0.75
0.1,0.625
0.11,0.875
0.12,0.625
0.13,0.875
0.14,0.75
0.15,0.875
0.16,0.75
0.17,0.875
0.18,0.75
0.19,0.625
0.2,0.375
0.21,0.625
0.22,0.75
0.23,0.625
0.24,0.75
0.25,0.5
0.26,0.75
0.27,0.5
0.28,0.625
0.29,0.25
0.3,0.125
0.31,0.5
0.32,0.625
0.33,0.125
0.34,0.375
0.35000000000000003,0.125
0.36,0.25
0.37,0.375
0.38,0.375
0.39,0.25
0.4,0.125
0.41000000000000003,0.0
0.42,0.125
0.43,0.125
0.44,0.375
0.45,0.0
0.46,0.125
0.47000000000000003,0.125
0.48,0.625
0.49,0.0
